ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	135 	2.0 	0.008251
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	138 	2.0 	0.129052
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	138 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	138 	2.0 	-0.0
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	138 	2.0 	0.032262
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	138 	2.0 	0.746138
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	138 	2.0 	0.034009
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	138 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	138 	2.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	138 	2.0 	-0.0
ABMODEL_GROUP 	srb 	138 	2.0 	-0.0
ABMODEL_GROUP 	sulfox 	138 	2.0 	0.195323
ABMODEL_GROUP 	amo 	138 	2.0 	0.01375
ABMODEL_GROUP 	methox 	138 	2.0 	0.746138
ABMODEL_GROUP 	feo 	138 	2.0 	0.00852
ABMODEL_GROUP 	methanogens 	138 	2.0 	-0.0
ABMODEL_GROUP 	anme 	138 	2.0 	0.036269
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	139 	2.0 	0.008519
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	139 	2.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	139 	2.0 	0.036267
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	139 	2.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	139 	2.0 	0.01375
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	139 	2.0 	0.129053
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	139 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	139 	2.0 	-0.0
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	139 	2.0 	0.032263
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	139 	2.0 	0.746141
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	139 	2.0 	0.034007
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	139 	2.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	139 	2.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	139 	2.0 	-0.0
ABMODEL_GROUP 	srb 	139 	2.0 	-0.0
ABMODEL_GROUP 	sulfox 	139 	2.0 	0.195323
ABMODEL_GROUP 	amo 	139 	2.0 	0.01375
ABMODEL_GROUP 	methox 	139 	2.0 	0.746141
ABMODEL_GROUP 	feo 	139 	2.0 	0.008519
ABMODEL_GROUP 	methanogens 	139 	2.0 	-0.0
ABMODEL_GROUP 	anme 	139 	2.0 	0.036267
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	0 	229.0 	0.0
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	0 	229.0 	0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	0 	229.0 	0.00046
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	0 	229.0 	0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	0 	229.0 	0.0
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	0 	229.0 	0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	0 	229.0 	-0.004246
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	0 	229.0 	1.012934
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	0 	229.0 	0.0
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	0 	229.0 	-0.009148
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	0 	229.0 	0.0
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	0 	229.0 	0.0
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	0 	229.0 	0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	0 	229.0 	0.0
ABMODEL_GROUP 	srb 	0 	229.0 	0.0
ABMODEL_GROUP 	sulfox 	0 	229.0 	-0.004246
ABMODEL_GROUP 	amo 	0 	229.0 	0.0
ABMODEL_GROUP 	methox 	0 	229.0 	-0.009148
ABMODEL_GROUP 	feo 	0 	229.0 	0.0
ABMODEL_GROUP 	methanogens 	0 	229.0 	1.012934
ABMODEL_GROUP 	anme 	0 	229.0 	0.00046
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	1 	226.8 	0.004251
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	1 	226.8 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	1 	226.8 	0.948328
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	1 	226.8 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	1 	226.8 	0.00726
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	1 	226.8 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	1 	226.8 	0.000951
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	1 	226.8 	-0.001276
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	1 	226.8 	-0.0
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	1 	226.8 	0.019713
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	1 	226.8 	0.018907
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	1 	226.8 	0.001866
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	1 	226.8 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	1 	226.8 	-0.0
ABMODEL_GROUP 	srb 	1 	226.8 	0.001866
ABMODEL_GROUP 	sulfox 	1 	226.8 	0.019858
ABMODEL_GROUP 	amo 	1 	226.8 	0.00726
ABMODEL_GROUP 	methox 	1 	226.8 	0.019713
ABMODEL_GROUP 	feo 	1 	226.8 	0.004251
ABMODEL_GROUP 	methanogens 	1 	226.8 	-0.001276
ABMODEL_GROUP 	anme 	1 	226.8 	0.948328
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	2 	224.4 	0.002434
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	2 	224.4 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	2 	224.4 	0.94778
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	2 	224.4 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	2 	224.4 	0.007806
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	2 	224.4 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	2 	224.4 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	2 	224.4 	-0.000498
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	2 	224.4 	0.007131
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	2 	224.4 	0.02109
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	2 	224.4 	0.012643
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	2 	224.4 	0.000852
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	2 	224.4 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	2 	224.4 	0.000763
ABMODEL_GROUP 	srb 	2 	224.4 	0.000852
ABMODEL_GROUP 	sulfox 	2 	224.4 	0.020536
ABMODEL_GROUP 	amo 	2 	224.4 	0.007806
ABMODEL_GROUP 	methox 	2 	224.4 	0.02109
ABMODEL_GROUP 	feo 	2 	224.4 	0.002434
ABMODEL_GROUP 	methanogens 	2 	224.4 	-0.000498
ABMODEL_GROUP 	anme 	2 	224.4 	0.94778
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	3 	221.8 	0.001618
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	3 	221.8 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	3 	221.8 	0.947732
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	3 	221.8 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	3 	221.8 	0.008039
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	3 	221.8 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	3 	221.8 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	3 	221.8 	-0.000297
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	3 	221.8 	0.012013
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	3 	221.8 	0.021649
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	3 	221.8 	0.007944
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	3 	221.8 	0.000559
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	3 	221.8 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	3 	221.8 	0.000744
ABMODEL_GROUP 	srb 	3 	221.8 	0.000559
ABMODEL_GROUP 	sulfox 	3 	221.8 	0.0207
ABMODEL_GROUP 	amo 	3 	221.8 	0.008039
ABMODEL_GROUP 	methox 	3 	221.8 	0.021649
ABMODEL_GROUP 	feo 	3 	221.8 	0.001618
ABMODEL_GROUP 	methanogens 	3 	221.8 	-0.000297
ABMODEL_GROUP 	anme 	3 	221.8 	0.947732
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	4 	219.0 	0.001218
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	4 	219.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	4 	219.0 	0.947563
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	4 	219.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	4 	219.0 	0.008186
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	4 	219.0 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	4 	219.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	4 	219.0 	-0.000196
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	4 	219.0 	0.014434
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	4 	219.0 	0.021978
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	4 	219.0 	0.005666
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	4 	219.0 	0.000414
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	4 	219.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	4 	219.0 	0.000736
ABMODEL_GROUP 	srb 	4 	219.0 	0.000414
ABMODEL_GROUP 	sulfox 	4 	219.0 	0.020836
ABMODEL_GROUP 	amo 	4 	219.0 	0.008186
ABMODEL_GROUP 	methox 	4 	219.0 	0.021978
ABMODEL_GROUP 	feo 	4 	219.0 	0.001218
ABMODEL_GROUP 	methanogens 	4 	219.0 	-0.000196
ABMODEL_GROUP 	anme 	4 	219.0 	0.947563
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	5 	216.0 	0.00098
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	5 	216.0 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	5 	216.0 	0.947371
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	5 	216.0 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	5 	216.0 	0.008293
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	5 	216.0 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	5 	216.0 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	5 	216.0 	-0.000137
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	5 	216.0 	0.015907
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	5 	216.0 	0.022214
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	5 	216.0 	0.004315
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	5 	216.0 	0.000326
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	5 	216.0 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	5 	216.0 	0.000731
ABMODEL_GROUP 	srb 	5 	216.0 	0.000326
ABMODEL_GROUP 	sulfox 	5 	216.0 	0.020953
ABMODEL_GROUP 	amo 	5 	216.0 	0.008293
ABMODEL_GROUP 	methox 	5 	216.0 	0.022214
ABMODEL_GROUP 	feo 	5 	216.0 	0.00098
ABMODEL_GROUP 	methanogens 	5 	216.0 	-0.000137
ABMODEL_GROUP 	anme 	5 	216.0 	0.947371
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	6 	212.8 	0.000822
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	6 	212.8 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	6 	212.8 	0.947184
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	6 	212.8 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	6 	212.8 	0.008383
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	6 	212.8 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	6 	212.8 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	6 	212.8 	-0.0001
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	6 	212.8 	0.016903
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	6 	212.8 	0.022392
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	6 	212.8 	0.003423
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	6 	212.8 	0.000267
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	6 	212.8 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	6 	212.8 	0.000727
ABMODEL_GROUP 	srb 	6 	212.8 	0.000267
ABMODEL_GROUP 	sulfox 	6 	212.8 	0.021052
ABMODEL_GROUP 	amo 	6 	212.8 	0.008383
ABMODEL_GROUP 	methox 	6 	212.8 	0.022392
ABMODEL_GROUP 	feo 	6 	212.8 	0.000822
ABMODEL_GROUP 	methanogens 	6 	212.8 	-0.0001
ABMODEL_GROUP 	anme 	6 	212.8 	0.947184
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	7 	209.5 	0.000707
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	7 	209.5 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	7 	209.5 	0.94699
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	7 	209.5 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	7 	209.5 	0.008456
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	7 	209.5 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	7 	209.5 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	7 	209.5 	-7.4e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	7 	209.5 	0.01763
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	7 	209.5 	0.022546
ABMODEL_REACTION 	1H2(aq)+0.5O2(aq)->H2O 	7 	209.5 	0.002795
ABMODEL_REACTION 	4H2(aq)+1SO42-+2H+->H2S(aq)+4H2O 	7 	209.5 	0.000224
ABMODEL_REACTION 	4H2(aq)+HCO3-+H+->CH4(aq)+3H2O 	7 	209.5 	-0.0
ABMODEL_REACTION 	10HS-+8H2O+16NO3-->10HSO4-+8N2(g)+16OH- 	7 	209.5 	0.000726
ABMODEL_GROUP 	srb 	7 	209.5 	0.000224
ABMODEL_GROUP 	sulfox 	7 	209.5 	0.021151
ABMODEL_GROUP 	amo 	7 	209.5 	0.008456
ABMODEL_GROUP 	methox 	7 	209.5 	0.022546
ABMODEL_GROUP 	feo 	7 	209.5 	0.000707
ABMODEL_GROUP 	methanogens 	7 	209.5 	-7.4e-05
ABMODEL_GROUP 	anme 	7 	209.5 	0.94699
ABMODEL_REACTION 	4Fe2++O2(aq)+10H2O->4Fe(OH)3+8H+ 	8 	205.9 	0.000623
ABMODEL_REACTION 	10CH4(aq)+16NO3-->10CO2(aq)+8N2(g)+12H20+16OH- 	8 	205.9 	-0.0
ABMODEL_REACTION 	CH4(aq)+SO42-+2H+->CO2(aq)+H2S(aq)+2H2O 	8 	205.9 	0.94656
ABMODEL_REACTION 	10H2S(aq)+16NO3-->10HSO4-+2H2O+8N2(g)+6OH- 	8 	205.9 	-0.0
ABMODEL_REACTION 	NH4++2O2(aq)->NO3-+H2O+2H+ 	8 	205.9 	0.008563
ABMODEL_REACTION 	1HS-+2O2(aq)->1HSO4- 	8 	205.9 	-0.0
ABMODEL_REACTION 	5H2(aq)+2NO3-+2H+->N2(g)+6H2O 	8 	205.9 	-0.0
ABMODEL_REACTION 	4H2(aq)+CO2(aq)->CH4(aq)+2H2O 	8 	205.9 	-5.4e-05
ABMODEL_REACTION 	1H2S(aq)+2O2(aq)->1HSO4-+1H+ 	8 	205.9 	0.018269
ABMODEL_REACTION 	1Methane(aq)+2O2(aq)->CO2(aq)+2H2O 	8 	205.9 	0.022774
